policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,hospital_cost,vaccine_cost,symptomatic_loss,long_covid_loss,mortality_loss,informal_care_loss,hosp_prod_loss,total_productivity_loss
JCVI Spring 2025 (75+ only),0.8,0.0313,lower,40469536.2041326,117855260,0,0,5405611551.620517,13321698.445281178,0,5459402786.269931
JCVI Spring 2025 (75+ only),0.9,0.0313,lower,38554831.114201546,132587167.5,0,0,4771015824.196216,13321698.445281178,0,4822892353.755698
JCVI Spring 2025 (75+ only),0.95,0.0313,lower,37597478.56923602,139953121.25,0,0,4453717960.484065,13321698.445281178,0,4504637137.498582
JCVI Spring 2025 (75+ only),0.8,0.0361,lower,46675727.05971843,117855260,0,0,6234587125.031969,15364642.615803532,0,6296627494.707491
JCVI Spring 2025 (75+ only),0.9,0.0361,lower,44467393.074206896,132587167.5,0,0,5502673202.98669,15364642.615803532,0,5562505238.676701
JCVI Spring 2025 (75+ only),0.95,0.0361,lower,43363226.08145113,139953121.25,0,0,5136716241.96405,15364642.615803532,0,5195444110.661305
JCVI Spring 2025 (75+ only),0.8,0.0413,lower,53399100.48660308,117855260,0,0,7132643996.22771,17577832.133869417,0,7203620928.848182
JCVI Spring 2025 (75+ only),0.9,0.0413,lower,50872668.530879356,132587167.5,0,0,6295302030.009703,17577832.133869417,0,6363752530.674451
JCVI Spring 2025 (75+ only),0.95,0.0413,lower,49609452.5530175,139953121.25,0,0,5876631046.9007,17577832.133869417,0,5943818331.587586
JCVI Spring 2025 (75+ only),0.8,0.0313,central,37191884.13706664,117855260,0,0,5760985901.46272,13321698.445281178,0,5811499484.045068
JCVI Spring 2025 (75+ only),0.9,0.0313,central,34867472.53875233,132587167.5,0,0,5170811967.768694,13321698.445281178,0,5219001138.7527275
JCVI Spring 2025 (75+ only),0.95,0.0313,central,33705266.73959518,139953121.25,0,0,4875725000.921681,13321698.445281178,0,4922751966.106558
JCVI Spring 2025 (75+ only),0.8,0.0361,central,42895431.86415673,117855260,0,0,6644459777.725373,15364642.615803532,0,6702719852.205334
JCVI Spring 2025 (75+ only),0.9,0.0361,central,40214560.97919998,132587167.5,0,0,5963779937.266769,15364642.615803532,0,6019359140.8617735
JCVI Spring 2025 (75+ only),0.95,0.0361,central,38874125.5367216,139953121.25,0,0,5623440017.037467,15364642.615803532,0,5677678785.189992
JCVI Spring 2025 (75+ only),0.8,0.0413,central,49074275.235171,117855260,0,0,7601556477.009914,17577832.133869417,0,7668208584.378955
JCVI Spring 2025 (75+ only),0.9,0.0413,central,46007240.12301826,132587167.5,0,0,6822828570.889683,17577832.133869417,0,6886413643.14657
JCVI Spring 2025 (75+ only),0.95,0.0413,central,44473722.566941895,139953121.25,0,0,6433464617.829568,17577832.133869417,0,6495516172.530379
JCVI Spring 2025 (75+ only),0.8,0.0313,upper,34784186.68792333,117855260,0,0,5913330656.645725,13321698.445281178,0,5961436541.77893
JCVI Spring 2025 (75+ only),0.9,0.0313,upper,32158812.90846611,132587167.5,0,0,5342199817.349575,13321698.445281178,0,5387680328.703322
JCVI Spring 2025 (75+ only),0.95,0.0313,upper,30846126.018737502,139953121.25,0,0,5056634397.7015,13321698.445281178,0,5100802222.165519
JCVI Spring 2025 (75+ only),0.8,0.0361,upper,40118502.85731732,117855260,0,0,6820167306.866156,15364642.615803532,0,6875650452.339276
JCVI Spring 2025 (75+ only),0.9,0.0361,upper,37090515.84650564,132587167.5,0,0,6161450907.550149,15364642.615803532,0,6213906066.012458
JCVI Spring 2025 (75+ only),0.95,0.0361,upper,35576522.341099806,139953121.25,0,0,5832092707.892146,15364642.615803532,0,5883033872.84905
JCVI Spring 2025 (75+ only),0.8,0.0413,upper,45897345.37416081,117855260,0,0,7802573677.938289,17577832.133869417,0,7866048855.446319
JCVI Spring 2025 (75+ only),0.9,0.0413,upper,42433194.029381804,132587167.5,0,0,7048972921.934104,17577832.133869417,0,7108983948.097355
JCVI Spring 2025 (75+ only),0.95,0.0413,upper,40701118.3569923,139953121.25,0,0,6672172543.932012,17577832.133869417,0,6730451494.4228735
Universal (All Ages),0.8,0.0313,lower,34478903.09954604,1357720080,0,0,2604852076.9068995,13321698.445281178,0,2652652678.4517264
Universal (All Ages),0.9,0.0313,lower,31815368.871541657,1527435090,0,0,1620161415.1433961,13321698.445281178,0,1665298482.4602191
Universal (All Ages),0.95,0.0313,lower,30483601.75753947,1612292595,0,0,1127816084.261645,13321698.445281178,0,1171621384.4644659
Universal (All Ages),0.8,0.0361,lower,39766402.616409324,1357720080,0,0,3004318210.1066794,15364642.615803532,0,3059449255.3388925
Universal (All Ages),0.9,0.0361,lower,36694403.07548415,1527435090,0,0,1868620673.6957383,15364642.615803532,0,1920679719.3870258
Universal (All Ages),0.95,0.0361,lower,35158403.30502156,1612292595,0,0,1300771905.4902682,15364642.615803532,0,1351294951.4110932
Universal (All Ages),0.8,0.0413,lower,45494527.09301122,1357720080,0,0,3437073187.739774,17577832.133869417,0,3500145546.9666553
Universal (All Ages),0.9,0.0413,lower,41980023.46308851,1527435090,0,0,2137784870.4607751,17577832.133869417,0,2197342726.057733
Universal (All Ages),0.95,0.0413,lower,40222771.64812716,1612292595,0,0,1488140711.8212764,17577832.133869417,0,1545941315.603273
Universal (All Ages),0.8,0.0313,central,29371176.85045334,1357720080,0,0,3357425407.862777,13321698.445281178,0,3400118283.1585116
Universal (All Ages),0.9,0.0313,central,26069176.841312375,1527435090,0,0,2466806412.468759,13321698.445281178,0,2506197287.7553525
Universal (All Ages),0.95,0.0313,central,24418176.8367419,1612292595,0,0,2021496914.7717505,13321698.445281178,0,2059236790.0537736
Universal (All Ages),0.8,0.0361,central,33875382.885027654,1357720080,0,0,3872302147.726718,15364642.615803532,0,3921542173.2275496
Universal (All Ages),0.9,0.0361,central,30067005.877679773,1527435090,0,0,2845102603.5182815,15364642.615803532,0,2890534252.011765
Universal (All Ages),0.95,0.0361,central,28162817.374005828,1612292595,0,0,2331502831.414064,15364642.615803532,0,2375030291.4038734
Universal (All Ages),0.8,0.0413,central,38754939.42248316,1357720080,0,0,4430085282.57932,17577832.133869417,0,4486418054.135673
Universal (All Ages),0.9,0.0413,central,34397987.333744444,1527435090,0,0,3254923477.155264,17577832.133869417,0,3306899296.622878
Universal (All Ages),0.95,0.0413,central,32219511.289375093,1612292595,0,0,2667342574.443237,17577832.133869417,0,2717139917.866482
Universal (All Ages),0.8,0.0313,upper,25572859.738497406,1357720080,0,0,3591823900.7011724,13321698.445281178,0,3630718458.8849506
Universal (All Ages),0.9,0.0313,upper,21796070.09036195,1527435090,0,0,2730504716.9119534,13321698.445281178,0,2765622485.4475965
Universal (All Ages),0.95,0.0313,upper,19907675.266294222,1612292595,0,0,2299845125.0173445,13321698.445281178,0,2333074498.7289195
Universal (All Ages),0.8,0.0361,upper,29494576.247915536,1357720080,0,0,4142646735.3134923,15364642.615803532,0,4187505954.1772118
Universal (All Ages),0.9,0.0361,upper,25138598.410928637,1527435090,0,0,3149240264.553403,15364642.615803532,0,3189743505.5801353
Universal (All Ages),0.95,0.0361,upper,22960609.49243519,1612292595,0,0,2652537029.173359,15364642.615803532,0,2690862281.2815976
Universal (All Ages),0.8,0.0413,upper,33743102.466451846,1357720080,0,0,4739371472.810173,17577832.133869417,0,4790692407.410494
Universal (All Ages),0.9,0.0413,upper,28759670.758209217,1527435090,0,0,3602870441.1649737,17577832.133869417,0,3649207944.0570526
Universal (All Ages),0.95,0.0413,upper,26267954.90408791,1612292595,0,0,3034619925.3423743,17577832.133869417,0,3078465712.380332
All Adults (18+),0.8,0.0313,lower,34702588.76048455,1043989500,0,0,2607698098.800177,13321698.445281178,0,2655722386.005943
All Adults (18+),0.9,0.0313,lower,32067015.24009748,1174488187.5,0,0,1623363189.773334,13321698.445281178,0,1668751903.4587128
All Adults (18+),0.95,0.0313,lower,30749228.47990395,1239737531.25,0,0,1131195735.2599127,13321698.445281178,0,1175266662.185098
All Adults (18+),0.8,0.0361,lower,40024391.50969623,1043989500,0,0,3007600682.641738,15364642.615803532,0,3062989716.7672377
All Adults (18+),0.9,0.0361,lower,36984640.58043192,1174488187.5,0,0,1872313455.2976792,15364642.615803532,0,1924662738.4939146
All Adults (18+),0.95,0.0361,lower,35464765.11579977,1239737531.25,0,0,1304669841.6256504,15364642.615803532,0,1355499249.3572536
All Adults (18+),0.8,0.0413,lower,45789677.82134223,1043989500,0,0,3440828481.8034286,17577832.133869417,0,3504195991.758641
All Adults (18+),0.9,0.0413,lower,42312068.0324609,1174488187.5,0,0,2142009576.2823863,17577832.133869417,0,2201899476.4487166
All Adults (18+),0.95,0.0413,lower,40573263.13802023,1239737531.25,0,0,1492600123.521866,17577832.133869417,0,1550751218.7937558
All Adults (18+),0.8,0.0313,central,29650937.980315216,1043989500,0,0,3359788347.1034746,13321698.445281178,0,3402760983.529071
All Adults (18+),0.9,0.0313,central,26383908.112406988,1174488187.5,0,0,2469464719.1145434,13321698.445281178,0,2509170325.6722317
All Adults (18+),0.95,0.0313,central,24750393.178452875,1239737531.25,0,0,2024302905.1200786,13321698.445281178,0,2062374996.7438128
All Adults (18+),0.8,0.0361,central,34198046.68017186,1043989500,0,0,3875027454.6464996,15364642.615803532,0,3924590143.9424753
All Adults (18+),0.9,0.0361,central,30430002.64721701,1174488187.5,0,0,2848168573.803036,15364642.615803532,0,2893963219.0660567
All Adults (18+),0.95,0.0361,central,28545980.63073958,1239737531.25,0,0,2334739133.3813047,15364642.615803532,0,2378649756.627848
All Adults (18+),0.8,0.0413,central,39124081.10501657,1043989500,0,0,4433203154.4847765,17577832.133869417,0,4489905067.723662
All Adults (18+),0.9,0.0413,central,34813271.72659453,1174488187.5,0,0,3258431083.0489025,17577832.133869417,0,3310822186.9093666
All Adults (18+),0.95,0.0413,central,32657867.03738351,1239737531.25,0,0,2671045047.3309665,17577832.133869417,0,2721280746.5022197
All Adults (18+),0.8,0.0313,upper,25893711.773156088,1043989500,0,0,3594091681.052634,13321698.445281178,0,3633307091.271071
All Adults (18+),0.9,0.0313,upper,22157028.629352964,1174488187.5,0,0,2733055969.807348,13321698.445281178,0,2768534696.881982
All Adults (18+),0.95,0.0313,upper,20288687.05745141,1239737531.25,0,0,2302538114.1847053,13321698.445281178,0,2336148499.6874375
All Adults (18+),0.8,0.0361,upper,29864632.428464368,1043989500,0,0,4145262290.2875423,15364642.615803532,0,4190491565.3318105
All Adults (18+),0.9,0.0361,upper,25554911.61404607,1174488187.5,0,0,3152182763.899209,15364642.615803532,0,3193102318.129059
All Adults (18+),0.95,0.0361,upper,23400051.206836928,1239737531.25,0,0,2655643000.7050433,15364642.615803532,0,2694407694.5276837
All Adults (18+),0.8,0.0413,upper,34166463.13838167,1043989500,0,0,4742363783.6253605,17577832.133869417,0,4794108078.897612
All Adults (18+),0.9,0.0413,upper,29235951.51413027,1174488187.5,0,0,3606236790.8320594,17577832.133869417,0,3653050574.480059
All Adults (18+),0.95,0.0413,upper,26770695.702004574,1239737531.25,0,0,3038173294.4354095,17577832.133869417,0,3082521822.2712836
No Vaccination,0,0.0313,lower,55787176.92358106,0,0,0,10482377371.014925,13321698.445281178,0,10551486246.383787
No Vaccination,0,0.0361,lower,64342398.94381074,0,0,0,12089898501.39421,15364642.615803532,0,12169605542.953825
No Vaccination,0,0.0413,lower,73610556.1323929,0,0,0,13831379725.971771,17577832.133869417,0,13922568114.238033
No Vaccination,0,0.0313,central,55787176.92358106,0,0,0,10482377371.014925,13321698.445281178,0,10551486246.383787
No Vaccination,0,0.0361,central,64342398.94381074,0,0,0,12089898501.39421,15364642.615803532,0,12169605542.953825
No Vaccination,0,0.0413,central,73610556.1323929,0,0,0,13831379725.971771,17577832.133869417,0,13922568114.238033
No Vaccination,0,0.0313,upper,55787176.92358106,0,0,0,10482377371.014925,13321698.445281178,0,10551486246.383787
No Vaccination,0,0.0361,upper,64342398.94381074,0,0,0,12089898501.39421,15364642.615803532,0,12169605542.953825
No Vaccination,0,0.0413,upper,73610556.1323929,0,0,0,13831379725.971771,17577832.133869417,0,13922568114.238033
